Modo,Jogadores,Histórico,Vencedor,Placar,Naipe Principal,Carta Virada,Início da Partida,Término da Partida
Singleplayer,"Tailann, Bot1, Bot2, Bot3","Carta virada (Bebi): Rei de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: Dama de Paus, 3 de Paus, 2 de Paus
Jogador 2: Rei de Ouros, Ás de Paus, Valete de Ouros
Jogador 3: 3 de Espadas, Ás de Espadas, Valete de Paus
Jogador 4: Rei de Paus, Ás de Ouros, Ás de Copas || Rodada: Tailann: Dama de Paus, Bot1: Valete de Ouros, Bot2: Ás de Espadas, Bot3: Ás de Copas || Bot3 venceu a rodada. Motivo: A carta Ás de Copas foi a maior. || Rodada: Tailann: 2 de Paus, Bot1: Rei de Ouros, Bot2: 3 de Espadas, Bot3: Rei de Paus || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Tailann: 3 de Paus, Bot1: Ás de Paus, Bot2: Valete de Paus, Bot3: Ás de Ouros || Bot1 venceu a rodada. Motivo: A carta Ás de Paus foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Copas,"('K', 'Copas')",2025-02-09 14:57:08,2025-02-09 14:57:09
Singleplayer,"Tailann, Bot1, Bot2, Bot3","Carta virada (Bebi): Rei de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: Dama de Paus, 3 de Paus, 2 de Paus
Jogador 2: Rei de Ouros, Ás de Paus, Valete de Ouros
Jogador 3: 3 de Espadas, Ás de Espadas, Valete de Paus
Jogador 4: Rei de Paus, Ás de Ouros, Ás de Copas || Rodada: Tailann: Dama de Paus, Bot1: Valete de Ouros, Bot2: Ás de Espadas, Bot3: Ás de Copas || Bot3 venceu a rodada. Motivo: A carta Ás de Copas foi a maior. || Rodada: Tailann: 2 de Paus, Bot1: Rei de Ouros, Bot2: 3 de Espadas, Bot3: Rei de Paus || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Tailann: 3 de Paus, Bot1: Ás de Paus, Bot2: Valete de Paus, Bot3: Ás de Ouros || Bot1 venceu a rodada. Motivo: A carta Ás de Paus foi a maior. || Dupla 2 venceu a partida com placar [1, 2] || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Copas,"('K', 'Copas')",2025-02-09 14:57:08,2025-02-09 14:57:09
Singleplayer,"t2, Bot1, Bot2, Bot3","Carta virada (Bebi): Dama de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: Valete de Espadas, Valete de Ouros, Dama de Paus
Jogador 2: 3 de Paus, Dama de Espadas, Rei de Copas
Jogador 3: 3 de Espadas, Dama de Ouros, Rei de Ouros
Jogador 4: Valete de Copas, Ás de Ouros, Valete de Paus || Rodada: t2: Valete de Ouros, Bot1: Dama de Espadas, Bot2: Dama de Ouros, Bot3: Valete de Copas || Bot3 venceu a rodada. Motivo: A carta Valete de Copas foi a maior. || Rodada: t2: Valete de Espadas, Bot1: Rei de Copas, Bot2: Rei de Ouros, Bot3: Valete de Paus || Bot1 venceu a rodada. Motivo: A carta Rei de Copas foi a maior. || Rodada: t2: Dama de Paus, Bot1: 3 de Paus, Bot2: 3 de Espadas, Bot3: Ás de Ouros || Bot2 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Copas,"('Q', 'Copas')",2025-02-09 15:02:35,2025-02-09 15:02:41
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): K de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: Q de Ouros, A de Espadas, 3 de Espadas
Jogador 2: A de Ouros, K de Copas, J de Ouros
Jogador 3: Q de Copas, J de Espadas, J de Paus
Jogador 4: 2 de Espadas, K de Paus, A de Paus || Rodada: Tailan: Q de Ouros, Bot1: J de Ouros, Bot2: J de Paus, Bot3: K de Paus || Bot1 venceu a rodada. Motivo: A carta J de Ouros foi a maior. || Rodada: Tailan: 3 de Espadas, Bot1: A de Ouros, Bot2: Q de Copas, Bot3: 2 de Espadas || Tailan venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Tailan: A de Espadas, Bot1: K de Copas, Bot2: J de Espadas, Bot3: A de Paus || Bot2 venceu a rodada. Motivo: A carta J de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Espadas,"('K', 'Espadas')",2025-02-10 16:07:21,2025-02-10 16:07:23
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): K de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: Q de Ouros, A de Espadas, 3 de Espadas
Jogador 2: A de Ouros, K de Copas, J de Ouros
Jogador 3: Q de Copas, J de Espadas, J de Paus
Jogador 4: 2 de Espadas, K de Paus, A de Paus || Rodada: Tailan: Q de Ouros, Bot1: J de Ouros, Bot2: J de Paus, Bot3: K de Paus || Bot1 venceu a rodada. Motivo: A carta J de Ouros foi a maior. || Rodada: Tailan: 3 de Espadas, Bot1: A de Ouros, Bot2: Q de Copas, Bot3: 2 de Espadas || Tailan venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Tailan: A de Espadas, Bot1: K de Copas, Bot2: J de Espadas, Bot3: A de Paus || Bot2 venceu a rodada. Motivo: A carta J de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1] || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Espadas,"('K', 'Espadas')",2025-02-10 16:07:21,2025-02-10 16:07:23
Singleplayer,"dcefe, Bot1, Bot2, Bot3","Carta virada (Bebi): Q de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: 2 de Espadas, Q de Copas, 3 de Paus
Jogador 2: J de Paus, J de Ouros, K de Copas
Jogador 3: A de Paus, Q de Ouros, A de Espadas
Jogador 4: A de Copas, K de Ouros, J de Espadas || Rodada: dcefe: 3 de Paus, Bot1: J de Ouros, Bot2: A de Espadas, Bot3: K de Ouros || dcefe venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Rodada: dcefe: Q de Copas, Bot1: J de Paus, Bot2: Q de Ouros, Bot3: J de Espadas || Bot3 venceu a rodada. Motivo: A carta J de Espadas foi a maior. || Rodada: dcefe: 2 de Espadas, Bot1: K de Copas, Bot2: A de Paus, Bot3: A de Copas || dcefe venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Espadas,"('Q', 'Espadas')",2025-02-10 16:11:13,2025-02-10 16:11:20
Singleplayer,"dcefe, Bot1, Bot2, Bot3","Carta virada (Bebi): Q de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: 2 de Espadas, Q de Copas, 3 de Paus
Jogador 2: J de Paus, J de Ouros, K de Copas
Jogador 3: A de Paus, Q de Ouros, A de Espadas
Jogador 4: A de Copas, K de Ouros, J de Espadas || Rodada: dcefe: 3 de Paus, Bot1: J de Ouros, Bot2: A de Espadas, Bot3: K de Ouros || dcefe venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Rodada: dcefe: Q de Copas, Bot1: J de Paus, Bot2: Q de Ouros, Bot3: J de Espadas || Bot3 venceu a rodada. Motivo: A carta J de Espadas foi a maior. || Rodada: dcefe: 2 de Espadas, Bot1: K de Copas, Bot2: A de Paus, Bot3: A de Copas || dcefe venceu a rodada. Motivo: A carta 2 de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1] || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Espadas,"('Q', 'Espadas')",2025-02-10 16:11:13,2025-02-10 16:11:20
Multiplayer,"qsqsqsqsqqs, qdqqsqs, xaaxxaax, axaxaxaxax","Carta virada (Bebi): K de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: K de Espadas, J de Ouros, J de Copas
Jogador 2: A de Espadas, Q de Paus, A de Paus
Jogador 3: Q de Ouros, K de Ouros, 3 de Espadas
Jogador 4: 2 de Paus, A de Copas, K de Copas || qdqqsqs venceu a rodada. Motivo: A carta A de Paus foi a maior. || qdqqsqs venceu a rodada. Motivo: A carta Q de Paus foi a maior. || xaaxxaax venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Dupla 2 venceu a partida com placar [1, 2]",Dupla 2,"[1, 2]",Paus,"('K', 'Paus')",2025-02-10 16:12:00,2025-02-10 16:12:51
Multiplayer,"Arthur, Tailan, Rubens, Kaio","Carta virada (Bebi): J de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: J de Espadas, Q de Copas, 3 de Espadas
Jogador 2: A de Copas, Q de Ouros, 2 de Paus
Jogador 3: 3 de Paus, A de Espadas, Q de Espadas
Jogador 4: Q de Paus, J de Copas, K de Ouros || Kaio venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Arthur venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rubens venceu a rodada. Motivo: A carta 3 de Paus foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Paus,"('J', 'Paus')",2025-02-10 16:16:55,2025-02-10 16:17:50
Singleplayer,"Rubens, Bot1, Bot2, Bot3","Carta virada (Bebi): 2 de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: K de Espadas, K de Ouros, Q de Paus
Jogador 2: 3 de Espadas, 2 de Paus, K de Paus
Jogador 3: J de Ouros, J de Espadas, A de Ouros
Jogador 4: A de Espadas, Q de Espadas, Q de Copas || Rodada: Rubens: K de Ouros, Bot1: 3 de Espadas, Bot2: A de Ouros, Bot3: A de Espadas || Bot1 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Rubens: Q de Paus, Bot1: K de Paus, Bot2: J de Ouros, Bot3: Q de Espadas || Bot3 venceu a rodada. Motivo: A carta Q de Espadas foi a maior. || Rodada: Rubens: K de Espadas, Bot1: 2 de Paus, Bot2: J de Espadas, Bot3: Q de Copas || Bot1 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Dupla 2 venceu a partida com placar [0, 3]",Dupla 2,"[0, 3]",Espadas,"('2', 'Espadas')",2025-02-10 16:24:58,2025-02-10 16:25:03
Singleplayer,"Rubens, Bot1, Bot2, Bot3","Carta virada (Bebi): 2 de Espadas || Naipe principal: Espadas || Cartas distribuídas:
Jogador 1: K de Espadas, K de Ouros, Q de Paus
Jogador 2: 3 de Espadas, 2 de Paus, K de Paus
Jogador 3: J de Ouros, J de Espadas, A de Ouros
Jogador 4: A de Espadas, Q de Espadas, Q de Copas || Rodada: Rubens: K de Ouros, Bot1: 3 de Espadas, Bot2: A de Ouros, Bot3: A de Espadas || Bot1 venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Rodada: Rubens: Q de Paus, Bot1: K de Paus, Bot2: J de Ouros, Bot3: Q de Espadas || Bot3 venceu a rodada. Motivo: A carta Q de Espadas foi a maior. || Rodada: Rubens: K de Espadas, Bot1: 2 de Paus, Bot2: J de Espadas, Bot3: Q de Copas || Bot1 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Dupla 2 venceu a partida com placar [0, 3] || Dupla 2 venceu a partida com placar [0, 3]",Dupla 2,"[0, 3]",Espadas,"('2', 'Espadas')",2025-02-10 16:24:58,2025-02-10 16:25:03
Multiplayer,"Tailan, Kaio, Arthur, Criston","Carta virada (Bebi): K de Copas || Naipe principal: Copas || Cartas distribuídas:
Jogador 1: Q de Ouros, Q de Paus, Q de Copas
Jogador 2: A de Ouros, K de Ouros, A de Paus
Jogador 3: A de Espadas, J de Ouros, 2 de Espadas
Jogador 4: 3 de Espadas, K de Espadas, A de Copas || Tailan venceu a rodada. Motivo: A carta Q de Copas foi a maior. || Tailan venceu a rodada. Motivo: A carta Q de Paus foi a maior. || Criston venceu a rodada. Motivo: A carta 3 de Espadas foi a maior. || Dupla 1 venceu a partida com placar [2, 1]",Dupla 1,"[2, 1]",Copas,"('K', 'Copas')",2025-02-10 16:26:09,2025-02-10 16:30:51
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): 9 de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: 10 de Copas, Q de Espadas, A de Espadas, 6 de Paus, 8 de Copas, J de Ouros, 4 de Copas, 3 de Ouros, A de Copas
Jogador 2: Q de Copas, 8 de Paus, K de Espadas, J de Copas, J de Paus, 1 de Ouros, 1 de Espadas, 5 de Copas, 5 de Paus
Jogador 3: K de Copas, 2 de Paus, 3 de Copas, 8 de Espadas, A de Paus, 5 de Ouros, 7 de Ouros, 2 de Ouros, A de Ouros
Jogador 4: Q de Ouros, 7 de Paus, K de Ouros, 4 de Espadas, 1 de Copas, 5 de Espadas, 6 de Copas, 2 de Copas, 7 de Espadas || Rodada: Tailan: 4 de Copas, Bot1: Q de Copas, Bot2: K de Copas, Bot3: 7 de Espadas || Bot2 venceu a rodada. Motivo: A carta K de Copas foi a maior. || Rodada: Tailan: 6 de Paus, Bot1: 1 de Ouros, Bot2: 8 de Espadas, Bot3: 2 de Copas || Tailan venceu a rodada. Motivo: A carta 6 de Paus foi a maior. || Rodada: Tailan: A de Espadas, Bot1: 1 de Espadas, Bot2: 2 de Ouros, Bot3: 6 de Copas || Tailan venceu a rodada. Motivo: A carta A de Espadas foi a maior. || Rodada: Tailan: 10 de Copas, Bot1: 5 de Paus, Bot2: A de Ouros, Bot3: 5 de Espadas || Bot2 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: Tailan: 8 de Copas, Bot1: K de Espadas, Bot2: 2 de Paus, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Tailan: J de Ouros, Bot1: J de Copas, Bot2: A de Paus, Bot3: 1 de Copas || Bot2 venceu a rodada. Motivo: A carta A de Paus foi a maior. || Rodada: Tailan: Q de Espadas, Bot1: 5 de Copas, Bot2: 3 de Copas, Bot3: 7 de Paus || Bot3 venceu a rodada. Motivo: A carta 7 de Paus foi a maior. || Rodada: Tailan: A de Copas, Bot1: J de Paus, Bot2: 5 de Ouros, Bot3: Q de Ouros || Bot1 venceu a rodada. Motivo: A carta J de Paus foi a maior. || Rodada: Tailan: 3 de Ouros, Bot1: 8 de Paus, Bot2: 7 de Ouros, Bot3: 4 de Espadas || Bot1 venceu a rodada. Motivo: A carta 8 de Paus foi a maior. || Dupla 1 venceu a partida com placar [6, 3]",Dupla 1,"[6, 3]",Paus,"('9', 'Paus')",2025-02-11 13:39:31,2025-02-11 13:39:41
Singleplayer,"Tailan, Bot1, Bot2, Bot3","Carta virada (Bebi): 9 de Paus || Naipe principal: Paus || Cartas distribuídas:
Jogador 1: 10 de Copas, Q de Espadas, A de Espadas, 6 de Paus, 8 de Copas, J de Ouros, 4 de Copas, 3 de Ouros, A de Copas
Jogador 2: Q de Copas, 8 de Paus, K de Espadas, J de Copas, J de Paus, 1 de Ouros, 1 de Espadas, 5 de Copas, 5 de Paus
Jogador 3: K de Copas, 2 de Paus, 3 de Copas, 8 de Espadas, A de Paus, 5 de Ouros, 7 de Ouros, 2 de Ouros, A de Ouros
Jogador 4: Q de Ouros, 7 de Paus, K de Ouros, 4 de Espadas, 1 de Copas, 5 de Espadas, 6 de Copas, 2 de Copas, 7 de Espadas || Rodada: Tailan: 4 de Copas, Bot1: Q de Copas, Bot2: K de Copas, Bot3: 7 de Espadas || Bot2 venceu a rodada. Motivo: A carta K de Copas foi a maior. || Rodada: Tailan: 6 de Paus, Bot1: 1 de Ouros, Bot2: 8 de Espadas, Bot3: 2 de Copas || Tailan venceu a rodada. Motivo: A carta 6 de Paus foi a maior. || Rodada: Tailan: A de Espadas, Bot1: 1 de Espadas, Bot2: 2 de Ouros, Bot3: 6 de Copas || Tailan venceu a rodada. Motivo: A carta A de Espadas foi a maior. || Rodada: Tailan: 10 de Copas, Bot1: 5 de Paus, Bot2: A de Ouros, Bot3: 5 de Espadas || Bot2 venceu a rodada. Motivo: A carta A de Ouros foi a maior. || Rodada: Tailan: 8 de Copas, Bot1: K de Espadas, Bot2: 2 de Paus, Bot3: K de Ouros || Bot2 venceu a rodada. Motivo: A carta 2 de Paus foi a maior. || Rodada: Tailan: J de Ouros, Bot1: J de Copas, Bot2: A de Paus, Bot3: 1 de Copas || Bot2 venceu a rodada. Motivo: A carta A de Paus foi a maior. || Rodada: Tailan: Q de Espadas, Bot1: 5 de Copas, Bot2: 3 de Copas, Bot3: 7 de Paus || Bot3 venceu a rodada. Motivo: A carta 7 de Paus foi a maior. || Rodada: Tailan: A de Copas, Bot1: J de Paus, Bot2: 5 de Ouros, Bot3: Q de Ouros || Bot1 venceu a rodada. Motivo: A carta J de Paus foi a maior. || Rodada: Tailan: 3 de Ouros, Bot1: 8 de Paus, Bot2: 7 de Ouros, Bot3: 4 de Espadas || Bot1 venceu a rodada. Motivo: A carta 8 de Paus foi a maior. || Dupla 1 venceu a partida com placar [6, 3] || Dupla 1 venceu a partida com placar [6, 3]",Dupla 1,"[6, 3]",Paus,"('9', 'Paus')",2025-02-11 13:39:31,2025-02-11 13:39:41
